inci_name,function_inci,ph_min,ph_max,usage_level_min,usage_level_max
"1,4-Butanediol/Succinic Acid/Adipic Acid/HDI Copolymer",Film Former,,,0.000,
Acetyl Heptapeptide-9,skin conditioning,,,,
Decapeptide-4,skin conditioning,,,,
Sodium Potassium Aluminum Silicate,Colorant,,,,
10-Hydroxystearic Acid,,,,0.000,
Decapeptide-40,skin conditioning,,,,
Decapeptide-6,antioxidant,,,,
Decursinol,antioxidant,,,,
"2,6-Dimethyl-p-Phenylenediamine HCl",Colorant,,,,
"2,6-Dimethyl-1,3-dioxan-4-yl acetate",,,,0.000,
Magnesium Laureth-11 Carboxylate,,-1.00,,,
Defined Cell Culture Media 7,skin conditioning,,,,
Deinoxanthin,Colorant,,,,
Acetyl Decapeptide-3,skin conditioning,,,,
"2-(2-(4-Chiorophenyl)-2-phenylacetyl] indane-1,3-dione (Chlorophacinone-ISO)",,,,0.000,
2-(6-Hydroxy-3-oxo-(3H)xanthen-9-yl)benzoic acid; Fluorescein and its disodium salt (Acid Yellow 73 sodium salt; CI 45350),Colorant,,,,
Acetyl Tetrapeptide-2,cell-communicating ingredient,,,,
Acetyl Tripeptide-1,skin conditioning,,,,
2-Caproyl Caproyl Methyl Alaninate,,,,0.000,
Deoxyribonuclease,skin conditioning,,,,
Desamido Collagen,"film forming, hair conditioning, skin conditioning",,,,
2-Amino-4-nitrophenol,Colorant,,,,
Bis-PEG/PPG-20/5 PEG/PPG-20/5 Dimethicone,,,,0.000,
Diacetyl Boldine,skin conditioning,,,,
2-Amino-5-Ethylphenol HCl,Colorant,,,,
2-Amino-5-nitrophenol,Colorant,,,,
2-Methoxyethyl Acetate,,,,0.000,
2-Amino-5-nitrophenol sulfate,Colorant,,,,
Diacetyl Benzoyl Lathyrol,,,,0.000,
"2-Oleamido-1,3,4-Octadecatriyl Prolinate",,,,0.000,
Diaminopyrimidine Oxide,"hair conditioning, skin conditioning",,,,
2-Chloro-5-Nitro-N-Hydroxyethyl p-Phenylenediamine,Colorant,,,,
"4-Piperidinol, 2,2,6-trimethyl-, benzoate (ester)",,,,0.000,
Copper Palmitoyl Heptapeptide-14,cell-communicating ingredient,,,,
Copper Tetrapeptide-52 Dimer,"hair conditioning, hair dyeing",,,,
Copper Tripeptide-1 Palmitamide,antioxidant,,,,
Copper Tripeptide-34,skin conditioning,,,,
2-Chloro-5-nitro-N-hydroxyethyl-p-Phenylenediamine,Colorant,,,,
Diamond powder,abrasive/scrub,,,,
2-Chloro-6-ethylamino-4-nitrophenol(and its salts),Colorant,,,,
2-Chloro-p-Phenylenediamine Sulfate,Colorant,,,,
Decapeptide-1,skin conditioning,,,,
Decapeptide-12,skin brightening,,,,
Decapeptide-18,skin conditioning,,,,
"4,4'-Diaminodiphenylamine and its salts",Colorant,,,,
Decapeptide-22,cell-communicating ingredient,,,,
Decapeptide-28,skin conditioning,,,,
2-Hydroxyethyl picramic Acid(and its salts),Colorant,,,,
2-Methoxy-4-Nitrophenol (4-Nitroguaiacol) and its salts,Colorant,,,,
2-Methoxymethyl-p-Aminophenol,Colorant,,,,
2-Methoxymethyl-p-Aminophenol HCl,Colorant,,,,
2-Methoxymethyl-p-Aminophenol and its HCl salt,Colorant,,,,
2-Methoxymethyl-p-Phenylenediamine Sulfate,Colorant,,,,
"2-Nitro-1,4-Benzenediamine",Colorant,,,,
2-Nitro-9H-carbazole,Colorant,,,,
2-Nitro-p-Phenylenediamine,Colorant,,,,
2-[(2-Methoxy-4-Nitrophenyl)amino]ethanol and its salts (e.g. 2-Hydroxyethylamino-5-Nitroanisole),Colorant,,,,
2-[(4-Chloro-2-nitrophenyl)azo)-N-(2-methoxyphenyl)-3-oxobutanamide (Pigment Yellow 73) and its salts,Colorant,,,,
Diisoamyl Succinate,"Emollient, Skin Conditioning Agent",,,1.000,10.000
2-[3-(Methylamino)-4-nitrophenoxy]ethanol,Colorant,,,,
"2-[[(4-Methoxyphenyl)Methylhydrazono]Methyl]-1,3,3-Trimethyl-3H-Indolium",Colorant,,,,
"2-[[(4-Methoxyphenyl)methylhydrazono]methyl]-1,3,3-trimethyl-3H-Indolium and its salts",Colorant,,,,
2-[[4-[ethyl(2-hydroxyethyl)amino]phenyl]azo]-6-methoxy-3-methyl Benzothiazolium,Colorant,,,,
Biotinoyl Tripeptide-1,cell-communicating ingredient,,,,
3(or 5)-[(4-((7-Amino-1-hydroxy-3-sulphonato-2-naphthyl)azo)-1-naphthyl)azo)salicylic acid,Colorant,,,,
"3,3'-Dimethoxybenzidine (ortho-Dianisidine)",Colorant,,,,
"3,3-Bis(4-hydroxyphenyl)phthalide (Phenolphthalein)",Colorant,,,,
Dinoseb,,-1.00,,,
"3,4-Diaminobenzoic Acid",Colorant,,,,
"3,5-Diamino-2,6-dimethoxypyridine and its salts",Colorant,,,,
"3-(N-Methyl-N-(4-methylamino-3-nitrophenyl)amino)propane-1,2-diol and its salts",Colorant,,,,
3-Hydroxy-4-[(2-hydroxynaphthyl)azo]-7-nitronaphthalene-1-sulphonic acid,Colorant,,,,
Diphenylmethyl Piperazinylbenzimidazole,,-1.00,,,
Azafenidin,,-1.00,,,
Diphenylether,,-1.00,,,
3-Methyl-1-phenyl-5-pyrazolone and its salts (e.g: Phenyl Methyl pyrazolone),Colorant,,,,
Direct Black 51,Colorant,,,,
3-Methylamino-4-Nitrophenoxyethanol,Colorant,,,,
Diaminopropionoyl Tripeptide-33,skin conditioning,,,,
"3-[(2-nitro-4-(trifluoromethyl)phenyl)amino]propane-1,2-diol (HC Yellow No 6) and its salts",Colorant,,,,
3-[(4-(Acetylamino)phenyl)azo]-4-hydroxy-7-[[[[5-hydroxy-6-(phenylazo)-7-sulfo-2-naphthalenyl]amino]carbonyl]amino]-2-naphthalenesulfonic acid,Colorant,,,,
"6-Methoxy-2,3-Pyridinediamine and its HCl salt",Colorant,,,,
3-[(4-(Acetylamino)phenyl)azo]-4-hydroxy-7-[[[[5-hydroxy-6-(phenylazo)-7-sulfo-2-naphthalenyl]amino]carbonyl]amino]-2-naphthalenesulfonic acid and its salts,Colorant,,,,
"3-[[(4-[[diamino(phenylazo)phenyl]azo]-2-methylphenyl]azo]-N,N,N-trimethyl-Benzenaminium and its salts",Colorant,,,,
"Acetylcholine bromide; Ethanaminium, 2-(acetyloxy)-N,N,N-trimethyl-, bromide (1:1); (2-Acetoxyethyl)trimethylammonium bromide",,,,0.000,
"3-[[4-[(2-Hydroxyethyl)methylamino]-2-nitrophenyl]amino]-1,2-propanediol",Colorant,,,,
"3H-Indolium, 2-(2-((2,4-dimethoxyphenyl)amino)ethenyl]-1,3,3-trimethyl- and its salts, when used as a substance in hair dye products",Colorant,,,,
Acetyl Tetrapeptide-11,skin conditioning,,,,
"4,5-Diamino-1-((4-chlorophenyl)methyl)-1H-pyrazole sulfate",Colorant,,,,
Disperse Red 15,Colorant,,,,
Sodium Picramate,Colorant,,,,
"4,4'-[(4-Methyl-1,3-phenylene)bis(azo)]bis[6-methyl-1,3-benzenediamine] (Basic Brown 4) and its salts",Colorant,,,,
"4,5-Diamino-1-methylpyrazole and its HCl salt",Colorant,,,,
"4,5-Diamino-1-methylpyrazole",Colorant,,,,
"4,6-Bis(2-Hydroxyethoxy)-m-Phenylenediamine",Colorant,,,,
"4,6-Bis(2-Hydroxyethoxy)-m-Phenylenediamine HCl",Colorant,,,,
Cinchonine,,-1.00,,,
"4-(Phenylazo)benzene-1,3-diamine monoacetate",Colorant,,,,
2-Ethylhexyl p-methoxycinnamate,,-1.00,,,
4-(Phenylazo)resorcinol (Solvent Orange 1; CI 11920) and its salts,Colorant,,,,
4-(phenylazo)-m-Phenylenediamine and its salts,Colorant,,,,
4-Amino-2-Nitrodiphenylamine-2'-Carboxylic Acid,Colorant,,,,
4-Amino-2-nitrophenol,Colorant,,,,
4-Amino-3-nitrophenol(and its salts),Colorant,,,,
4-Amino-m-cresol(and its salts),Colorant,,,,
"4-Aminobenzenesulfonic acid, when used as a substance in hair dye products",Colorant,,,,
4-Aminobiphenyl Hydrochloride,Colorant,,,,
Ethoheptazine,,-1.00,,,
Soyamidopropyl Betaine,,-1.00,,,
4-Aminotoluene,Colorant,,,,
4-Ethoxyaniline,Colorant,,,,
4-Ethoxy-p-Phenylenediamine Sulfate,Colorant,,,,
4-Methoxy-m-phenylenediamine-HCl,Colorant,,,,
4-FORMYL-1-METHYLQUINOLINIUM-P-TOLUENESULFONATE,Colorant,,,,
4-Fluoro-6-Methyl-m-Phenylenediamine Sulfate,Colorant,,,,
Orange 11,Colorant,,,,
"4-Methoxytoluene-2,5-Diamine",Colorant,,,,
"4-Methyl-m-phenylenediamine (Toluene-2,4-diamine)",Colorant,,,,
Ethyl Almondate,,,,0.500,15.000
4-Nitro-o-Phenylenediamine,Colorant,,,,
Ethyl Hydroxypyrone,,-1.00,,,
Ethyl Hydroxy Picolinium Lactate,,-1.00,,,
4-Nitro-o-Phenylenediamine Dihydrochloride,Colorant,,,,
4-Nitro-o-Phenylenediamine HCl,Colorant,,,,
4-Nitro-o-Phenylenediamine Sulfate,Colorant,,,,
Goat Milk,,,,0.500,10.000
4-[(2-Hydroxyethyl)Amino-3-Nitrophenol and its salt (e.g. 3-Nitro-p-Hydroxyethylaminophenol),Colorant,,,,
Perfluoroalkylsilyl Mica(JPN),"Colorant, Pearlescent Agent",,,,
Hordenine,,-1.00,,,
4-[(4-Ethoxyphenyl)azo]naphthol (Solvent Red 3; CI 12010),Colorant,,,,
4-[(4-Nitrophenyl)azo]aniline (Disperse Orange 3) and its salts,Colorant,,,,
C12-13 Alketh-12,,-1.00,,,
4-o-Tolylazo-o-toluidine,Colorant,,,,
"5-(acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)-2,7-Naphthalenedisulfonic acid and its salts",Colorant,,,,
Farnesene,,,,0.000,
5-Amino-4-Chloro-o-Cresol,Colorant,,,,
5-Amino-4-Chloro-o-Cresol HCl,Colorant,,,,
Fibroin Glycoside,,,,0.100,3.000
Hydroxytrimethylpyridinyl Methylindolecarboxamide,,-1.00,,,
5-Amino-6-Chloro-o-Cresol,Colorant,,,,
1-(3-Hydroxypropylamino)-2-nitro-4-bis(2-hydroxyethylamino)benzene and its salts(e.g. HC Violet No.2),Colorant,,,,
5-Nitro-2-cresol; 5-Nitro-o-cresol,Colorant,,,,
5-Nitro-o-toluidine,Colorant,,,,
Imidazolidinone,,-1.00,,,
5-Nitro-o-toluidine hydrochloride,Colorant,,,,
Formalin,,-1.00,,,
"Disodium 3-[(2,4-dimethyl-5-sulphonatophenyl)azo]-4-hydroxynaphthalene-1-sulphonate (Ponceaux SX; CI 14700) when used as a substance in hair dye products",Colorant,,,,
5-[(2-hydroxyethyl)amino]-o-cresol and its salt (e.g. 2-Methyl-5-Hydroxyethylaminophenol),Colorant,,,,
"5-[(4-[(7-Amino-1-hydroxy-3-sulfo-2-naphthyl)azo]-2,5-diethoxyphenyl)azo]-3-[(3-phosphonophenyl)azo]benzoicacid",Colorant,,,,
6-Hydroxyindole,Colorant,,,,
"6-Amino-2-((2,4-dimethylphenyl)-1H-benz[de]isoquinoline-1,3(2H)-dione",Colorant,,,,
"5,5'-Di-isopropyl-2,2'-dimethylbiphenyl-4,4'-diyl dihypoiodite",,,,0.000,
Furazolidone,,-1.00,,,
6-Amino-m-Cresol,Colorant,,,,
6-Amino-o-cresol and its salts,Colorant,,,,
Gallyl Glucoside,,-1.00,,,
AMP-Isostearoyl Hydrolyzed Keratin,,,,0.000,
"6-Amino-o-cresol, when used as a substance in hair dye products",Colorant,,,,
6-Chloro-2-(6-chloro-4-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-4-methylbenzo[b]thiophene-3(2H)-one (VAT Red 1; CI 73360),Colorant,,,,
Genistein Glucoside,,-1.00,,,
Abies Alba Seed Oil,"antioxidant, antimicrobial/antibacterial",,,0.000,
ACID Yellow 36,Colorant,,,,
"6-Methoxy-2,3-Pyridinediamine",Colorant,,,,
Glucosamine Sulfate,,-1.00,,,
6-methoxy-m-Toluidine,Colorant,,,,
Abies Concolor Branch/Leaf/Wood Oil,,,,0.000,
"6-Nitro-2,5-pyridinediamine",Colorant,,,,
6-Nitro-o-toluidine,Colorant,,,,
Acetyl Heptapeptide-4,moisturizer/humectant,,,,
C12-14 Sec-Alketh-40,,-1.00,,,
"Abies sibirica needle oil and extract, if its peroxide value is more than 10 mmoles/L..",,,,0.000,
Ceramide AG,moisturizer/humectant,,,,
Ceramide NP,Skin Conditioning Agent,,,0.050,1.000
Ceramide AS,skin-identical ingredient,,,,
Ceramide EOP,skin-identical ingredient,,,,
Ceramide NS,skin-identical ingredient,,,,
Ethanolamine Dithiodiglycolate,,-1.00,,,
3-O-Ethyl Ascorbic Acid,"Antioxidant, Skin-Conditioning Agent, Skin Whitening Agent",3.00,6.00,0.500,3.000
Disodium C12-14 Pareth-1 Sulfosuccinate,,-1.00,,,
Bixa Orellana Leaf Extract,antioxidant,,,,
Hydrolyzed Rice Protein,Skin Conditioning Agent,3.50,6.50,0.500,5.000
Hydrolyzed Corn Protein,Hair Conditioning Agent,,,,
Hydrolyzed Wheat Protein,Hair Conditioning Agent,4.00,6.00,0.500,5.000
Acetyl Carnitine HCl,skin conditioning,,,0.000,
AMP-Isostearoyl Hydrolyzed Wheat Protein,"surfactant/cleansing, emulsifying",,,,
AMPD-Isostearoyl Hydrolyzed Collagen,"surfactant/cleansing, emulsifying",,,,
Cocoyl Hydrolyzed Keratin,surfactant/cleansing,,,,
Cocoyl Hydrolyzed Rice Protein,surfactant/cleansing,,,,
Cocoyl Hydrolyzed Wheat Protein,surfactant/cleansing,,,,
Acetyl D-Threonyl D-Valyl D-Glutamyl D-Phenylalanine,,,,0.000,
Boron Nitride,absorbent/mattifier,,,,
Acetyl Citrull Amido Arginine,skin protecting,,,,
Acetyl Farnesylcysteine,"reducing, skin conditioning",,,,
Acetyl Hydroxyproline,"emollient, moisturizer/humectant",,,,
Boswellia Serrata Oil,"masking, skin conditioning",,,,
Acetyl Trifluoromethylphenyl Valylglycine,skin conditioning,,,,
Acetylarginyltryptophyl Diphenylglycine,cell-communicating ingredient,,,,
Glycereth-8 Hydroxystearate,,,,0.000,
Amidinoproline,"moisturizer/humectant, perfuming",,,,
Cysteine,antioxidant,,,,
"7,7'-(carbonyldiimino)bis(4-hydroxy-3-[[2-sulfo-4-[(4-sulfophenyl)azo]phenyl]azo-2-Naphthalenesulfonic acid",Colorant,,,,
7-(Benzoylamino)-4-Hydroxy-3-[[4-[(4-Sulfophenyl)azo]phenyl]azo]-2-Naphthalenesulfonic Acid,Colorant,,,,
Cysteine HCl,antioxidant,,,,
Bismuth Subgallate,skin conditioning,,,,
Bismuth Subnitrate,absorbent/mattifier,,,,
7-(Benzoylamino)-4-Hydroxy-3-[[4-[(4-Sulfophenyl)azo]phenyl]azo]-2-Naphthalenesulfonic Acid and its salts,Colorant,,,,
"Aminosalicylate calcium; Benzoic acid, 4-amino-2-hydroxy-, calcium salt (2:1)",,-1.00,,,
ACID YELLOW 1,Colorant,,,,
"3-[[4-[Ethyl(2-Hydroxyethyl)Amino]-2-Nitrophenyl]Amino]-1,2- Propanediol and its salts",Colorant,,,,
Brassica Oleracea Capitata Leaf Water,skin conditioning,,,,
"5-(acetylamino)-4-hydroxy-3-((2-methylphenyl)azo)-2,7-Naphthalenedisulfonic acid",Colorant,,,,
3-Aminopropane Sulfonic Acid,surfactant/cleansing,,,,
Acetyl Mandelic Acid,buffering,,,,
Brassica Oleracea Italica Seed Extract,skin conditioning,,,,
"8,18-Dichloro-5,15-diethyl-5,15-dihydrodiindolo[3,2-b:3',2'-m]triphenodioxazine (Pigment Violet 23; CI 51319) when used as a substance in hair dye products",Colorant,,,,
9-(dimethylamino)-Benzo[a]phenoxazin-7-ium,Colorant,,,,
Basic Green 1,Colorant,,,,
9-(dimethylamino)-Benzo[a]phenoxazin-7-ium and its salts,Colorant,,,,
"1-Hydroxy-2-beta-hydroxyethylamino-4,6-dinitrobenzene and its salts (e.g.2-Hydroxyethyl Picramic Acid)",Colorant,,,,
Bromelain,"keratolytic, skin conditioning",,,,
ACID RED 195,Colorant,,,,
N1-(2-Hydroxyethyl)-4-nitro-o-phenylenediamine (HC Yellow No 5),Colorant,,,,
CI 40850,Colorant,,,,
Acid Orange 3,Colorant,,,,
Acetyl Triethylhexyl Citrate,,,,0.000,
"2',4',5',7'-Tetraiodofluorescein, its disodium salt (Acid Red 51; CI 45430) and its aluminium salt (Pigment Red 172 Aluminium lake)",Colorant,,,,
HC Yellow No. 2,Colorant,,,,
"2,2'-(1,2-Ethenediyl)bis[5-((4-ethoxyphenyl)azo]benzenesulfonic acid) and its salts",Colorant,,,,
Diammonium Lauryl Sulfosuccinate,,-1.00,,,
Acetyl Zingerone,"antioxidant, chelating",,,0.000,
"Toluene-3,4-diamine and its salts, when used as a substance in hair dye products",Colorant,,,,
CI 21100,Colorant,,,,
"4-Amino-N,N-Dimethylaniline",Colorant,,,,
Acetylated C10-40 Hydroxyalkyl Acid Cholesterol/Lanosterol Esters,,,,0.000,
Pyrethrum cinerariifolium Trev.,,-1.00,,,
4-Chlororesorcinol,hair dyeing,,,,
Phenylethyl Resorcinol,"antioxidant, skin brightening",,,,
Acetylated Hydrogenated Castor Glyceride,,,,0.000,
3-Hydroxy-4-[(2-hydroxynaphthyl)azo]-7-nitronaphthalene-1-sulphonic acid and its salts,Colorant,,,,
Neodymium and its salts,Colorant,,,,
Acetyl sh-Hexapeptide-5 Amide Acetate,cell-communicating ingredient,,,,
"2,3-Dihydro-1H-indole-5,6-diol (Dihydroxyindoline) and its Hydrobromide salts (Dihydroxyindoline Hydrobromide)",Colorant,,,,
Ethoxydiglycol Acetate,,,,0.100,10.000
"2,3-Dihydro-2,2-dimethyl-6-[(4-(phenylazo)-1-naphthelenyl)azo]-1H-pyrimidine (Solvent Black 3) and its salts",Colorant,,,,
"2,6-Bis(2-Hydroxyethoxy)-3,5-Pyridinediamine and its HCl salt",Colorant,,,,
Acetyl Tryptophan,,,,0.000,
Acid Black 131,Colorant,,,,
Acetylcholine chloride,,,,0.000,
Acid Black 52,Colorant,,,,
Acid Brown 13,Colorant,,,,
Hydroxyphenyl Dihydroxyisoindolinone,,-1.00,,,
"4-allyl-6-[3-[6-[3-[6-[3-(4-allyl-2,6-bis(2,3-epoxypropyl)phenoxy)-2-hydroxypropyl]-4-allyl-2-(2,3-epoxypropyl)phenoxy]-2-hydroxypropyl]-4-allyl-2-(2,3-epoxypropyl)phenoxy]-2-hydroxypropyl]-2-(2,3-epoxypropyl)phenol; 4-allyl-6-[3-(4-allyl-2,6-bis(2,3-epoxypropyl)phenoxy)-2-hydroxypropyl]-2-(2,3-epoxypropyl)phenol; 4-allyl-6-[3-[6-[3-(4-allyl-2,6-bis(2,3-epoxypropyl)phenoxy)-2-hydroxypropyl]-4-allyl-2-(2,3-epoxypropyl)phenoxy]-2-hydroxypropyl]-2-(2,3-epoxypropyl)phenol",,,,0.000,
Acetylmethionyl Methylsilanol Elastinate,"antistatic, hair conditioning, skin conditioning",,,,
Acid Red 35,Colorant,,,,
Acid Red 73,Colorant,,,,
4-Nitro-m-Phenylenediamine,Colorant,,,,
Butoxyethyl Stearate,,,,0.000,
N1-(2-Hydroxyethyl)-4-nitro-o-phenylenediamine and its salts,Colorant,,,,
3-Ethylamino-p-Cresol Sulfate,Colorant,,,,
TEA-C12-13 Alketh-3 Sulfate,,-1.00,,,
Butyl Benzoate,preservative,,,0.000,
CI 75300/Curcumin,Colorant,,,,
Composite Topaz,Colorant,,,,
2-Methoxy-p-Phenylenediamine Sulfate,Colorant,,,,
C30-50 Alketh-40,,-1.00,,,
Alcloxa,"antimicrobial/antibacterial, astringent",,,0.000,
4-Diethylamino-o-toluidine and its salts,Colorant,,,,
Lawsonia Inermis Flower/Fruit/Leaf Extract,Colorant,,,,
Magnesium Benzoate,,-1.00,,,
Butyl Glucoside,,,,0.000,
Decarboxy Carnosine HCl,"antistatic, hair conditioning, skin conditioning",,,,
Acid Orange 24 (CI 20170),Colorant,,,,
"4-Phenylazophenylene-1,3-Diamine Citrate Hydrochloride (Chrysoidine Citrate Hydrochloride)",Colorant,,,,
Allyl Stearate/VA Copolymer,,,,0.000,
"2-(3,6-Dihydroxy-2,4,5,7-tetrabromoxanthen-9-yl)benzoic acid; Fluorescein, 2',4',5',7'-tetrabromo-;(Solvent Red 43), its disodium salt (Acid Red 87; CI 45380) and its aluminium salt (Pigment Red 90:1 Aluminium lake) when used as a substance in hair dye products",Colorant,,,,
"Hydroxyethyl-3,4-Methylenedioxyaniline HCl",Colorant,,,,
Althaea Officinalis Leaf Extract,skin conditioning,,,0.000,
C.I. Pigment Red 104,Colorant,,,,
Butylene Glycol Cocoate,"emulsifying, viscosity controlling, emulsion stabilising",,,,
Polychloro copper phthalocyanine (Pigment Green 7; CI 74260),Colorant,,,,
Lecithin,"Emulsifying Agent, Skin Conditioning Agent, Surfactant",6.00,7.00,0.500,10.000
Mixture of HC Red No. 10 and HC Red No. 11,Colorant,,,,
Butylene Glycol Behenate,Skin Conditioning Agent - Emollient,,,1.000,10.000
"Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)] bis(4-aminonaphthalene-1- sulphonate)",Colorant,,,,
Butyloctanol,"moisturizer/humectant, solvent",,,0.000,
Basic Blue 47,Colorant,,,,
Amino Esters-1,skin conditioning,,,0.000,
Butyrospermum Parkii Nut Extract,emollient,,,0.000,
Laccaic acid (CI Natural Red 25) and its salts,Colorant,,,,
Ethyl Morrhuate,,,,0.000,
Amodimethicone Hydroxystearate,,,,0.000,
Diphenyl Dimethicone/Vinyl Diphenyl Dimethicone/Silsesquioxane Crosspolymer,,,,0.000,
"2-(6-Hydroxy-3-oxo-(3H)xanthen-9-yl)benzoic acid; Fluorescein and its disodium salt (Acid Yellow 73 sodium salt; CI 45350), when used as a substance in hair dye products",Colorant,,,,
Amodimethicone/Silsesquioxane Copolymer,,,,0.500,5.000
CI 40825,Colorant,,,,
2-Amino-6-Chloro-4-Nitrophenol and its salts,Colorant,,,,
2-Aminomethyl-p-aminophenol,Colorant,,,,
Aka213,Colorant,,,,
2-Aminomethyl-p-aminophenol and its HCl salts,Colorant,,,,
Aka505,Colorant,,,,
Methoxyphenylethenyl t-butylbenzoate,,-1.00,,,
Methyl Aminolevulinate HCl,,-1.00,,,
Methyl Iminooxothiazolidinyl Acetamido Dimethylthiophene Carboxylate,,-1.00,,,
Apricot Kernel Oil Polyglyceryl-10 Esters,"skin conditioning, skin conditioning - emollient, surfactant - cleansing, surfactant - emulsifying",,,0.000,
Ethyl PABA,,-1.00,,,
Methylene Glycol,,-1.00,,,
Dipotassium Azelate,,-1.00,,,
"1-Amino-4-[[4-[(dimethylamino)methyl]phenyl]amino]anthraquinone and its salts, when used as a substance in hair dye products",Colorant,,,,
Apricot Kernel Oil Polyglyceryl-6 Esters,"emollient, emulsifying, surfactant/cleansing",,,0.500,10.000
2-Nitro-p-phenylenediamine and its salts(e.g. : Nitro-p-phenylenediamine Sulfate),Colorant,,,,
C11-15 Pareth-7,"emulsifying, surfactant/cleansing",-1.00,,,
Molinate,,-1.00,,,
"4-Piperidinol, 2,2,6-trimethyl-, benzoate",,,,0.000,
C12-13 Alcohols,"viscosity controlling, emulsion stabilising",,,0.000,
Ethyl Palmate,,,,1.000,15.000
C12-13 Alkane/Cycloalkane,,,,0.000,
"Chromium (VI) compounds, with the exception of barium chromate and of compounds specified elsewhere in this Annex",Colorant,,,,
Basic Blue 9,Colorant,,,,
Ethyl Palmitate,,,,1.000,15.000
Arachidyl Behenate,"emollient, viscosity controlling",,,0.000,
Ethyl Pyruvate,,,,0.100,5.000
"Chrysoidine C10-14-alkyl derivatives; Benzenesulfonic acid, mono-C10-14-alkyl derivatives, compounds with 4-(phenylazo)-1,3-benzenediamine",Colorant,,,,
"N,N-Dimethylanilinium tetrakis(Pentafluorophenyl)borate",,-1.00,,,
2-[3-(Methyl amino)-4-nitro phenoxy]ethanol and its salts (e.g: 3-Methylamino-4-Nitrophenoxyethanol),Colorant,,,,
2-[[4-[ethyl(2-hydroxyethyl)amino]phenyl]azo]-6-methoxy-3-methyl Benzothiazolium and its salts,Colorant,,,,
"3(or 5)-((4-(Benzylmethylamino)phenyl)azo)-1,2-(or 1,4)-dimethyl-1H-1,2,4-triazolium",Colorant,,,,
Aluminum Iron Silicates,Colorant,,,,
Lead chromate molybdate sulfate red,Colorant,,,,
Neostigmine Methylsulfate,,-1.00,,,
4-Ethoxy-m-Phenylenediamine,Colorant,,,,
Ninhydrin,,-1.00,,,
Mica (CI 77019),"Colorant, Pearlescent Agent",,,,
Aurantiochytrium Limacinum Oil,,,,0.000,
"Distillates (petroleum), chemically neutralized heavy paraffinic","Colorant, Pearlescent Agent",,,0.000,
O-alkyldithiocarbonic acid,,-1.00,,,
C20-24 Alkyl Dimethicone,,,,0.000,
"Distillates (petroleum), chemically neutralized light naphthenic","Colorant, Pearlescent Agent",,,0.000,
Octoxynol-25,,-1.00,,,
PNA-5 Carboxyethyl Fluorene,,-1.00,,,
Oleamidopropyl Dimethylamine,,-1.00,,,
Badger Oil,skin conditioning,,,0.000,
Melamine Peroxide,,-1.00,,,
"Distillates (petroleum), chemically neutralized light paraffinic","Colorant, Pearlescent Agent",,,0.000,
"(8-[(4-Amino-2-nitrophenyl)azo]-7-hydroxy-2-naphthyl)trimethylammonium and its salts, (except Basic Red 118 as impurity in Basic brown 17)",Colorant,,,,
"3-Hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophenyl)azo]naphthalene-2-carboxamide (Pigment Red 112; CI 12370) and its salts when used as a substance in hair dye products",Colorant,,,,
Methyl Dihydroxy-dimethylbenzoate,,-1.00,,,
Oxyquinoline,,-1.00,,,
Arachidyl/Behenyl Alcohol,,,,0.000,
"1,7-Naphthalenediol",Colorant,,,,
C30-50 Alcohols,EMOLLIENT,,,1.000,10.000
3-Nitro-4-aminophenoxyethanol and its salts,Colorant,,,,
Behenamidopropyl Dimethylamine,emulsifying,,,1.000,5.000
Basic Blue 41,Colorant,,,,
3-Nitro-p-hydroxyethylaminophenol(and its salts),Colorant,,,,
Behenamidopropyl PG-Dimonium Chloride,,,,0.000,
PNA-4 Carboxyethyl Fluorene,Colorant,,,,
PEI-15,,-1.00,,,
C18-22 Hydroxyalkyl Hydroxypropyl Guar,"hair conditioning, skin conditioning",,,,
Behenamidopropyltrimonium Methosulfate,hair conditioning,,,0.500,5.000
Beheneth-20,"emulsifying, surfactant/cleansing",,,0.000,
